Unidade de negócio,Case Name,Cliente,Ano do case,MD,Focal do time,Setor,Produto,Status,ID,Created,Item Type,Path
Digital & Technology Services (CT), CSC Digital Transformation,Biosev,2021,"Quintao, Fabio;#23",,4;#Açúcar e Etanol,343;#Digital Transformation,Validado,1136,27/7/2023 06:46,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Acqio: PMO,Acqio,2019,"Quintao, Fabio;#23","Sena, Katarinny;#147",7;#Serviços Financeiros,62;#IT Consulting,Validado,163,18/10/2022 07:46,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Acqio: Transformação de TI ,Acqio,2019,"Quintao, Fabio;#23","Zaiden, Carla;#472;#Antonialli, Guilherme;#53",7;#Serviços Financeiros,62;#IT Consulting;#47;#IT Due Diligence,Validado,13,7/10/2021 07:47,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Adufértil Fertilizantes: Transformação de TI,Adufertil,2019,"Quintao, Fabio;#23","Barcellos, Carlos;#48",13;#Agronégocio,62;#IT Consulting,Validado,66,31/3/2022 11:22,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Advent do Brasil Consultoria e Participações: Interim Management – Diretor Financeiro​,Advent do Brasil Consultoria e Participações,2019,"Munier, Kevin;#26","Kam, Guilherme;#115",24;#Químico e Petroquímico,205;#Interim Management,Validado,179,30/11/2022 10:30,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Advent do Brasil Consultoria e Participações: Otimização de Capital de Giro,Advent do Brasil Consultoria e Participações,2019,"Kneubuhler, Markus;#50","Safar, Satya;#72","16;#Telecomunicações, Mídia e Tecnologia",157;#Working Capital Optimization,Validado,91,18/4/2022 15:00,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Agrogalaxy,Aqua Capital,2020,"Munier, Kevin;#26",,7;#Serviços Financeiros,,Em validação,1028,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Operations;#Finance;#Strategy;#Gestão,AgroGalaxy: Agrogalaxy - Revisão estrutura operacional (fase 1 e 2),AgroGalaxy,2023,"Menano, Joao;#2472;#Mendes, Carlos;#16;#Pela, Mauricio;#18;#Kneubuhler, Markus;#50","de Bem, Yago;#4451",14;#Comércio,,Validado,1203,15/3/2024 07:53,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Agrogalaxy: Dimensionamento de sinergias,Agrogalaxy,2020,"Munier, Kevin;#26","Martins, Lucas;#152",13;#Agronégocio;#12;#Agricultura;#14;#Comércio;#15;#Serviços,197;#Transformações Holisticas,Validado,15,7/10/2021 08:03,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Agrogalaxy: Mapeamento de sinergias pré-M&A,Agrogalaxy,2020,"Munier, Kevin;#26","Martins, Lucas;#152",13;#Agronégocio,152;#M＆A Strategy,Validado,119,30/6/2022 10:38,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance;#Strategy;#Consumer Retail Group,"AgroGalaxy: Redução com custo de pessoal, otimização de processos e gestão",AgroGalaxy,2023,"Mendes, Carlos;#16","Fukue, Flavio;#32",13;#Agronégocio,376;#Modelo operacional,Validado,1183,9/1/2024 06:38,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Allied - Tecnologia,Allied Tecnologia,2019,"Sampaio de Oliveira, Eduardo;#19",,60;#Tecnologia,2;#Reduction of G＆A costs and indirect costs,Em validação,1034,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa (CT),Allied Digital - Tecnologia,Allied Tecnologia,2019,"Sampaio de Oliveira, Eduardo;#19",,,,Em validação,1075,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
